title,date,rating,genre,review,poster_path,runtime,companion,award_nominee,notes
군체,2026-05-22,5.0,액션/범죄,소통의 부재로 인한 비극,20260622233225_군체.jfif,122,연인,,
살목지,2026-04-22,3.5,스릴러/미스터리,하지 말라면 하지 마라. 가지 말라면 가지 마라!,20260622234323_살목지.jfif,96,친구,,
휴민트,2026-02-14,4.5,액션/범죄,박정민 배우님 잘생겼다..,20260622235254_휴민트.jfif,119,가족,,
귀멸의 칼날: 무한성편,2026-01-16,5.0,애니메이션,애니메이션이 영화도 재밌으면 되냐고..,20260622235646_귀멸의_칼날:_무한성편.jfif,155,연인,,
만약에 우리,2025-12-31,5.0,로맨스/멜로,익숙함에 속아 소중한 사람을 잃지 말자,20260623001947_만약에_우리.jfif,115,연인,,
F1 더 무비,2025-12-22,5.0,드라마,왜 영화관에서 보지 않았을까.. 또 보고 싶은 영화,20260623002646_F1_더_무비.jfif,155,가족,,
발레리나,2025-08-07,4.5,액션/범죄,너무나도 멋진 복수이자 멋진 액션,20260623002233_발레리나.jfif,125,연인,,
미션 임파서블: 파이널 레코닝,2025-05-29,4.0,액션/범죄,톰 크루즈.. 나만 나이 먹는 것 같네요,20260623001833_미션_임파서블:_파이널_레코닝.jfif,169,연인,,
소방관,2025-01-11,4.0,드라마,현실이었다는 게 너무 화가 나고 슬프다,20260623002101_소방관.jfif,106,가족,,
아바타: 불과 재,2025-12-17,4.0,SF/판타지,"그래픽은 아무도 따라잡을 수 없는 영화, 그러나 엉덩이는 너무 아픈 영화..",20260623003215_아바타:_불과_재.jfif,197,가족,None,
